seat,runid,success
X01,20160323-131237,T
X01,20160324-132503,T
X01,20160328-131621,T
X01,20160328-155906,T
X01,20160330-161552,T
X07,20160323-132145,T
X07,20160325-175116,T
X07,20160328-132132,T
X07,20160328-155946,T
X13,20160323-132649,T
X13,20160325-135307,T
X13,20160328-132906,T
X13,20160328-160018,T
X13,20160330-161459,T
X19,20160328-133411,T
X19,20160328-160042,T
X25,20160328-133936,T
X25,20160328-155934,T
X31,20160328-134440,T
X02,20160323-131739,T
X02,20160324-132450,T
X02,20160325-135219,T
X02,20160328-131704,T
X02,20160328-155914,T
X08,20160325-141856,T
X08,20160325-175134,T
X08,20160328-132205,T
X08,20160328-155945,T
X08,20160330-161522,T
X14,20160323-132643,T
X14,20160328-132941,T
X14,20160328-160023,T
X14,20160330-161456,T
X20,20160328-133444,T
X20,20160328-160053,T
X20,20160330-161448,T
X26,20160328-134003,T
X26,20160328-155940,T
X03,20160323-131622,T
X03,20160324-132509,T
X03,20160325-175037,T
X03,20160328-131745,T
X03,20160328-155919,T
X03,20160330-161602,T
X09,20160323-132434,T
X09,20160328-132425,T
X09,20160328-160000,T
X09,20160330-161509,T
X15,20160323-132627,T
X15,20160328-133005,T
X15,20160328-160026,T
X21,20160323-133257,F
X21,20160328-133650,T
X21,20160328-155918,T
X27,20160328-134034,T
X27,20160328-155941,T
X04,20160323-131714,T
X04,20160324-132523,T
X04,20160324-155023,T
X04,20160328-131820,T
X04,20160328-155923,T
X04,20160330-163058,T
X04,20160330-181928,F
X10,20160328-132828,F
X10,20160328-160005,T
X10,20160330-181958,T
X16,20160323-132616,T
X16,20160328-133044,T
X16,20160328-160027,T
X16,20160330-161459,T
X22,20160328-133742,T
X22,20160328-155920,T
X28,20160328-155947,T
X05,20160324-132535,F
X05,20160324-155019,T
X05,20160328-132029,T
X05,20160328-155932,T
X05,20160330-161524,T
X11,20160323-132549,T
X11,20160328-132535,T
X11,20160328-160009,T
X11,20160330-161511,F
X17,20160323-133002,F
X17,20160328-133311,T
X17,20160328-160037,F
X17,20160330-161437,T
X18,20160330-170145,F
X23,20160323-133346,F
X23,20160328-133820,T
X23,20160328-155924,F
X29,20160328-134332,T
X29,20160328-155952,T
X06,20160323-131957,T
X06,20160324-155002,T
X06,20160325-175101,F
X06,20160328-132053,F
X06,20160328-155931,T
X06,20160330-161525,F
X06,20160330-181926,F
X12,20160323-132600,T
X12,20160325-140813,F
X12,20160328-132605,T
X12,20160328-160010,T
X12,20160330-161525,T
X12,20160330-182011,F
X18,20160323-133013,T
X18,20160328-133350,T
X18,20160328-160040,T
X24,20160328-133857,F
X24,20160328-155926,F
X30,20160328-134412,F
